n,design,distr,effectX1,effectX2,effectX1X2,X1,X2,X1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
16,4x3,likert5B,0,0,0,0.0049,0.0098,0.052,0.0111,0.0078,0.0766,0.0109,0.0073,0.0812,0.0135,0.0082,0.0721,0.0105,0.0087,0.075
16,4x3,likert5B,0,0,0,0.0148,0.0004,0.0109,0.0151,0.0073,0.0265,0.0164,0.0073,0.0251,0.0426,0.0063,0.026,0.0146,0.0051,0.0288
16,4x3,likert5B,0,0,0,0.0001,0.0159,0.0079,0.0071,0.0021,0.0198,0.0012,0.0068,0.0144,0.0234,0.0046,0.0112,0.0017,0.006,0.0148
16,4x3,likert5B,0,0,0,0.0209,0.0079,0.0303,0.0381,0.0013,0.0341,0.0344,0.0005,0.0357,0.0406,0.0029,0.0479,0.0357,0.0004,0.032
16,4x3,likert5B,0,0,0,0.0132,0.0212,0.0379,0.0003,0.0189,0.0424,0.0009,0.0076,0.0517,0.0102,0.0192,0.0502,0.0007,0.0064,0.0517
16,4x3,likert5B,0,0,0,0.0265,0.0101,0.0433,0.0137,0.0108,0.0679,0.0135,0.009,0.0516,0.0256,0.0253,0.0314,0.0118,0.0093,0.0595
16,4x3,likert5B,0,0,0,0.03,0.0154,0.0604,0.0223,0.0105,0.0476,0.0178,0.0061,0.0417,0.0235,0.0028,0.0579,0.0195,0.0081,0.0458
16,4x3,likert5B,0,0,0,0.0175,0.0001,0.0213,0.0091,0.0009,0.0181,0.0181,0.0004,0.0253,0.0271,0.0045,0.0157,0.0163,0.0002,0.0239
16,4x3,likert5B,0,0,0,0.0273,0.0129,0.0177,0.0047,0.0082,0.0091,0.0032,0.009,0.0103,0.0234,0.0255,0.0274,0.0037,0.0078,0.0106
16,4x3,likert5B,0,0,0,0.0171,0.0283,0.0574,0.0231,0.0155,0.048,0.0203,0.0146,0.0545,0.012,0.0178,0.076,0.0229,0.0149,0.0498
16,4x3,likert5B,0,0,0,0.0113,0.0075,0.0388,0.0297,0.0003,0.0329,0.0287,0.0003,0.0316,0.0579,0.0028,0.04,0.0219,0.0005,0.0211
16,4x3,likert5B,0,0,0,0.0146,0.0012,0.0441,0.0088,0.0028,0.0429,0.0039,0.0006,0.0533,0.0063,0.0016,0.082,0.0047,0.0012,0.0489
16,4x3,likert5B,0,0,0,0.012,0.0142,0.0186,0.0115,0.0113,0.0342,0.0135,0.0129,0.0243,0.014,0.0088,0.0197,0.013,0.0143,0.024
16,4x3,likert5B,0,0,0,0.0057,0.0041,0.0321,0.0211,0.0078,0.0525,0.0187,0.0068,0.0411,0.0103,0.0033,0.0421,0.0164,0.0066,0.0497
16,4x3,likert5B,0,0,0,0.0011,0.0054,0.0223,0.0087,0.0148,0.0074,0.0135,0.0165,0.0055,0.0141,0.0167,0.0124,0.0152,0.0133,0.0049
16,4x3,likert5B,0,0,0,0.0246,0.0049,0.017,0.0293,0.0103,0.0154,0.0327,0.008,0.0148,0.0392,0.0009,0.0179,0.0338,0.0099,0.0126
16,4x3,likert5B,0,0,0,0.0762,0.0158,0.021,0.0586,0.0049,0.0198,0.0561,0.007,0.0172,0.0315,0.0099,0.0157,0.0575,0.0057,0.0215
16,4x3,likert5B,0,0,0,0.0129,0.0448,0.0736,0.0058,0.0187,0.0681,0.0023,0.0149,0.0658,0.0038,0.0016,0.0739,0.0032,0.0192,0.0757
16,4x3,likert5B,0,0,0,0.0225,0.0654,0.0806,0.0423,0.0643,0.063,0.0368,0.0566,0.0657,0.0655,0.0699,0.0755,0.0411,0.0612,0.0641
16,4x3,likert5B,0,0,0,0.0048,0.0081,0.0458,0.0078,0.0107,0.0236,0.006,0.0082,0.0268,0.0069,0.0151,0.0454,0.009,0.0065,0.0239
16,4x3,likert5B,0,0,0,0.011,0.0051,0.0219,0.0129,0.0046,0.0137,0.0188,0.0014,0.0195,0.0266,0.0356,0.0659,0.0174,0.0011,0.0169
16,4x3,likert5B,0,0,0,0.0143,0.0092,0.0459,0.0076,0.0071,0.0335,0.0092,0.0097,0.0393,0.0251,0.0125,0.0494,0.0089,0.0088,0.0355
16,4x3,likert5B,0,0,0,0.0217,0.0219,0.0256,0.0249,0.0359,0.0214,0.0214,0.034,0.0194,0.029,0.0526,0.0445,0.0251,0.0364,0.0206
16,4x3,likert5B,0,0,0,0.0011,0.0018,0.0264,0.0026,0.0149,0.0367,0.0033,0.0174,0.0399,0.0139,0.0247,0.0478,0.0022,0.0174,0.0328
16,4x3,likert5B,0,0,0,0.0046,0.0405,0.0329,0.0035,0.0337,0.017,0.0024,0.0303,0.0146,0.0071,0.0165,0.0273,0.0036,0.027,0.0153
16,4x3,likert5B,0,0,0,0.0096,0.0007,0.0116,0.0036,0.0053,0.0246,0.0024,0.0046,0.0215,0.0107,0.0055,0.0314,0.0026,0.0036,0.0212
