n,design,family,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,likert_5_flex,2.5,PAR,0.01,0,0,0,0.1224,0.0122,0.0144
20,4x3,likert_5_flex,2.5,RNK,0.01,0,0,0,0.059,0.0126,0.012
20,4x3,likert_5_flex,2.5,ART,0.01,0,0,0,0.128,0.1306,0.0878
20,4x3,likert_5_flex,2.5,INT,0.01,0,0,0,0.0686,0.013,0.0142
20,4x3,likert_5_flex,3,PAR,0.05,0,0,0,0.2972,0.0512,0.0666
20,4x3,likert_5_flex,3,RNK,0.05,0,0,0,0.1766,0.0496,0.0588
20,4x3,likert_5_flex,3,ART,0.05,0,0,0,0.2776,0.2804,0.2222
20,4x3,likert_5_flex,3,INT,0.05,0,0,0,0.1788,0.05,0.0642
20,4x3,likert_5_flex,3,PAR,0.01,0,0,0,0.1662,0.0114,0.016
20,4x3,likert_5_flex,3,RNK,0.01,0,0,0,0.081,0.0104,0.0146
20,4x3,likert_5_flex,3,ART,0.01,0,0,0,0.1692,0.1644,0.11
20,4x3,likert_5_flex,3,INT,0.01,0,0,0,0.0924,0.0114,0.0162
20,4x3,likert_7,1,PAR,0.05,0,0,0,0.0546,0.0508,0.0542
20,4x3,likert_7,1,RNK,0.05,0,0,0,0.0554,0.0512,0.0496
20,4x3,likert_7,1,ART,0.05,0,0,0,0.0656,0.056,0.0566
20,4x3,likert_7,1,INT,0.05,0,0,0,0.0538,0.0512,0.0544
20,4x3,likert_7,1,PAR,0.01,0,0,0,0.0124,0.012,0.0098
20,4x3,likert_7,1,RNK,0.01,0,0,0,0.013,0.0114,0.0092
20,4x3,likert_7,1,ART,0.01,0,0,0,0.0142,0.015,0.0112
20,4x3,likert_7,1,INT,0.01,0,0,0,0.0122,0.0122,0.0106
20,4x3,likert_7,1.5,PAR,0.05,0,0,0,0.0508,0.05,0.0612
20,4x3,likert_7,1.5,RNK,0.05,0,0,0,0.0502,0.0506,0.061
20,4x3,likert_7,1.5,ART,0.05,0,0,0,0.0586,0.0666,0.0688
20,4x3,likert_7,1.5,INT,0.05,0,0,0,0.0498,0.0504,0.061
20,4x3,likert_7,1.5,PAR,0.01,0,0,0,0.0104,0.01,0.0128
20,4x3,likert_7,1.5,RNK,0.01,0,0,0,0.0104,0.0098,0.0134
