n,design,family,sd_ratio,method,alpha,effect,rate
20,within-2,norm,1,PAR,0.05,0,0.0508
20,within-2,norm,1,RNK,0.05,0,0.0532
20,within-2,norm,1,INT,0.05,0,0.0498
20,within-2,norm,1,NON,0.05,0,0.0476
20,within-2,norm,1,PAR,0.01,0,0.0098
20,within-2,norm,1,RNK,0.01,0,0.0112
20,within-2,norm,1,INT,0.01,0,0.0108
20,within-2,norm,1,NON,0.01,0,0.01
20,within-2,norm,1.5,PAR,0.05,0,0.0454
20,within-2,norm,1.5,RNK,0.05,0,0.05
20,within-2,norm,1.5,INT,0.05,0,0.0416
20,within-2,norm,1.5,NON,0.05,0,0.0456
20,within-2,norm,1.5,PAR,0.01,0,0.0062
20,within-2,norm,1.5,RNK,0.01,0,0.0078
20,within-2,norm,1.5,INT,0.01,0,0.0056
20,within-2,norm,1.5,NON,0.01,0,0.007
20,within-2,norm,2,PAR,0.05,0,0.0506
20,within-2,norm,2,RNK,0.05,0,0.0612
20,within-2,norm,2,INT,0.05,0,0.044
20,within-2,norm,2,NON,0.05,0,0.0508
20,within-2,norm,2,PAR,0.01,0,0.0096
20,within-2,norm,2,RNK,0.01,0,0.013
20,within-2,norm,2,INT,0.01,0,0.0086
20,within-2,norm,2,NON,0.01,0,0.0098
20,within-2,norm,2.5,PAR,0.05,0,0.0492
20,within-2,norm,2.5,RNK,0.05,0,0.0662
20,within-2,norm,2.5,INT,0.05,0,0.0426
20,within-2,norm,2.5,NON,0.05,0,0.0486
20,within-2,norm,2.5,PAR,0.01,0,0.01
20,within-2,norm,2.5,RNK,0.01,0,0.0154
20,within-2,norm,2.5,INT,0.01,0,0.0078
20,within-2,norm,2.5,NON,0.01,0,0.009
20,within-2,norm,3,PAR,0.05,0,0.0492
20,within-2,norm,3,RNK,0.05,0,0.0692
20,within-2,norm,3,INT,0.05,0,0.0378
20,within-2,norm,3,NON,0.05,0,0.0476
20,within-2,norm,3,PAR,0.01,0,0.0096
20,within-2,norm,3,RNK,0.01,0,0.0154
20,within-2,norm,3,INT,0.01,0,0.0072
20,within-2,norm,3,NON,0.01,0,0.0104
20,within-2,likert_5,1,PAR,0.05,0,0.0524
20,within-2,likert_5,1,RNK,0.05,0,0.0524
20,within-2,likert_5,1,INT,0.05,0,0.051
20,within-2,likert_5,1,NON,0.05,0,0.0444
20,within-2,likert_5,1,PAR,0.01,0,0.011
20,within-2,likert_5,1,RNK,0.01,0,0.0106
20,within-2,likert_5,1,INT,0.01,0,0.0112
20,within-2,likert_5,1,NON,0.01,0,0.0066
20,within-2,likert_5,1.5,PAR,0.05,0,0.0542
20,within-2,likert_5,1.5,RNK,0.05,0,0.0524
20,within-2,likert_5,1.5,INT,0.05,0,0.0512
20,within-2,likert_5,1.5,NON,0.05,0,0.0454
20,within-2,likert_5,1.5,PAR,0.01,0,0.0116
20,within-2,likert_5,1.5,RNK,0.01,0,0.0122
20,within-2,likert_5,1.5,INT,0.01,0,0.0114
20,within-2,likert_5,1.5,NON,0.01,0,0.0076
20,within-2,likert_5,2,PAR,0.05,0,0.0538
20,within-2,likert_5,2,RNK,0.05,0,0.062
20,within-2,likert_5,2,INT,0.05,0,0.0506
20,within-2,likert_5,2,NON,0.05,0,0.0472
20,within-2,likert_5,2,PAR,0.01,0,0.0112
20,within-2,likert_5,2,RNK,0.01,0,0.0136
20,within-2,likert_5,2,INT,0.01,0,0.009
20,within-2,likert_5,2,NON,0.01,0,0.0058
20,within-2,likert_5,2.5,PAR,0.05,0,0.0452
20,within-2,likert_5,2.5,RNK,0.05,0,0.054
20,within-2,likert_5,2.5,INT,0.05,0,0.0382
20,within-2,likert_5,2.5,NON,0.05,0,0.0392
20,within-2,likert_5,2.5,PAR,0.01,0,0.01
20,within-2,likert_5,2.5,RNK,0.01,0,0.0128
20,within-2,likert_5,2.5,INT,0.01,0,0.008
20,within-2,likert_5,2.5,NON,0.01,0,0.0068
20,within-2,likert_5,3,PAR,0.05,0,0.0532
20,within-2,likert_5,3,RNK,0.05,0,0.0642
20,within-2,likert_5,3,INT,0.05,0,0.0432
20,within-2,likert_5,3,NON,0.05,0,0.0458
20,within-2,likert_5,3,PAR,0.01,0,0.0134
20,within-2,likert_5,3,RNK,0.01,0,0.0166
20,within-2,likert_5,3,INT,0.01,0,0.0088
20,within-2,likert_5,3,NON,0.01,0,0.0072
20,within-2,likert_5_flex,1,PAR,0.05,0,0.0528
20,within-2,likert_5_flex,1,RNK,0.05,0,0.0524
20,within-2,likert_5_flex,1,INT,0.05,0,0.0514
20,within-2,likert_5_flex,1,NON,0.05,0,0.0404
20,within-2,likert_5_flex,1,PAR,0.01,0,0.0106
20,within-2,likert_5_flex,1,RNK,0.01,0,0.0112
20,within-2,likert_5_flex,1,INT,0.01,0,0.0106
20,within-2,likert_5_flex,1,NON,0.01,0,0.0058
20,within-2,likert_5_flex,1.5,PAR,0.05,0,0.0584
20,within-2,likert_5_flex,1.5,RNK,0.05,0,0.0562
20,within-2,likert_5_flex,1.5,INT,0.05,0,0.0528
20,within-2,likert_5_flex,1.5,NON,0.05,0,0.0508
20,within-2,likert_5_flex,1.5,PAR,0.01,0,0.011
20,within-2,likert_5_flex,1.5,RNK,0.01,0,0.0114
20,within-2,likert_5_flex,1.5,INT,0.01,0,0.0106
20,within-2,likert_5_flex,1.5,NON,0.01,0,0.0068
20,within-2,likert_5_flex,2,PAR,0.05,0,0.0914
20,within-2,likert_5_flex,2,RNK,0.05,0,0.0828
20,within-2,likert_5_flex,2,INT,0.05,0,0.0728
20,within-2,likert_5_flex,2,NON,0.05,0,0.077
20,within-2,likert_5_flex,2,PAR,0.01,0,0.0216
20,within-2,likert_5_flex,2,RNK,0.01,0,0.0186
20,within-2,likert_5_flex,2,INT,0.01,0,0.018
20,within-2,likert_5_flex,2,NON,0.01,0,0.011
20,within-2,likert_5_flex,2.5,PAR,0.05,0,0.1088
20,within-2,likert_5_flex,2.5,RNK,0.05,0,0.086
20,within-2,likert_5_flex,2.5,INT,0.05,0,0.0754
20,within-2,likert_5_flex,2.5,NON,0.05,0,0.092
20,within-2,likert_5_flex,2.5,PAR,0.01,0,0.0238
20,within-2,likert_5_flex,2.5,RNK,0.01,0,0.0226
20,within-2,likert_5_flex,2.5,INT,0.01,0,0.0198
20,within-2,likert_5_flex,2.5,NON,0.01,0,0.0122
20,within-2,likert_5_flex,3,PAR,0.05,0,0.1348
20,within-2,likert_5_flex,3,RNK,0.05,0,0.1096
20,within-2,likert_5_flex,3,INT,0.05,0,0.0902
20,within-2,likert_5_flex,3,NON,0.05,0,0.1168
20,within-2,likert_5_flex,3,PAR,0.01,0,0.0326
20,within-2,likert_5_flex,3,RNK,0.01,0,0.0286
20,within-2,likert_5_flex,3,INT,0.01,0,0.0254
20,within-2,likert_5_flex,3,NON,0.01,0,0.0184
20,within-2,likert_7,1,PAR,0.05,0,0.0514
20,within-2,likert_7,1,RNK,0.05,0,0.0506
20,within-2,likert_7,1,INT,0.05,0,0.0502
20,within-2,likert_7,1,NON,0.05,0,0.0444
20,within-2,likert_7,1,PAR,0.01,0,0.0104
20,within-2,likert_7,1,RNK,0.01,0,0.0098
20,within-2,likert_7,1,INT,0.01,0,0.0098
20,within-2,likert_7,1,NON,0.01,0,0.0052
20,within-2,likert_7,1.5,PAR,0.05,0,0.0576
20,within-2,likert_7,1.5,RNK,0.05,0,0.0568
20,within-2,likert_7,1.5,INT,0.05,0,0.0532
20,within-2,likert_7,1.5,NON,0.05,0,0.051
20,within-2,likert_7,1.5,PAR,0.01,0,0.0102
20,within-2,likert_7,1.5,RNK,0.01,0,0.0124
20,within-2,likert_7,1.5,INT,0.01,0,0.0094
20,within-2,likert_7,1.5,NON,0.01,0,0.0054
20,within-2,likert_7,2,PAR,0.05,0,0.0502
20,within-2,likert_7,2,RNK,0.05,0,0.056
20,within-2,likert_7,2,INT,0.05,0,0.0416
20,within-2,likert_7,2,NON,0.05,0,0.0438
20,within-2,likert_7,2,PAR,0.01,0,0.0116
20,within-2,likert_7,2,RNK,0.01,0,0.0134
20,within-2,likert_7,2,INT,0.01,0,0.009
20,within-2,likert_7,2,NON,0.01,0,0.007
20,within-2,likert_7,2.5,PAR,0.05,0,0.0448
20,within-2,likert_7,2.5,RNK,0.05,0,0.058
20,within-2,likert_7,2.5,INT,0.05,0,0.036
20,within-2,likert_7,2.5,NON,0.05,0,0.0396
20,within-2,likert_7,2.5,PAR,0.01,0,0.0102
20,within-2,likert_7,2.5,RNK,0.01,0,0.0122
20,within-2,likert_7,2.5,INT,0.01,0,0.008
20,within-2,likert_7,2.5,NON,0.01,0,0.0056
20,within-2,likert_7,3,PAR,0.05,0,0.0472
20,within-2,likert_7,3,RNK,0.05,0,0.065
20,within-2,likert_7,3,INT,0.05,0,0.0374
20,within-2,likert_7,3,NON,0.05,0,0.0408
20,within-2,likert_7,3,PAR,0.01,0,0.0102
20,within-2,likert_7,3,RNK,0.01,0,0.0136
20,within-2,likert_7,3,INT,0.01,0,0.0076
20,within-2,likert_7,3,NON,0.01,0,0.006
20,within-2,likert_7_flex,1,PAR,0.05,0,0.0494
20,within-2,likert_7_flex,1,RNK,0.05,0,0.0512
20,within-2,likert_7_flex,1,INT,0.05,0,0.0498
20,within-2,likert_7_flex,1,NON,0.05,0,0.0422
20,within-2,likert_7_flex,1,PAR,0.01,0,0.009
20,within-2,likert_7_flex,1,RNK,0.01,0,0.0114
20,within-2,likert_7_flex,1,INT,0.01,0,0.0102
20,within-2,likert_7_flex,1,NON,0.01,0,0.0046
20,within-2,likert_7_flex,1.5,PAR,0.05,0,0.0574
20,within-2,likert_7_flex,1.5,RNK,0.05,0,0.0492
20,within-2,likert_7_flex,1.5,INT,0.05,0,0.047
20,within-2,likert_7_flex,1.5,NON,0.05,0,0.0482
20,within-2,likert_7_flex,1.5,PAR,0.01,0,0.0074
20,within-2,likert_7_flex,1.5,RNK,0.01,0,0.009
20,within-2,likert_7_flex,1.5,INT,0.01,0,0.009
20,within-2,likert_7_flex,1.5,NON,0.01,0,0.0042
20,within-2,likert_7_flex,2,PAR,0.05,0,0.0758
20,within-2,likert_7_flex,2,RNK,0.05,0,0.0622
20,within-2,likert_7_flex,2,INT,0.05,0,0.0512
20,within-2,likert_7_flex,2,NON,0.05,0,0.065
20,within-2,likert_7_flex,2,PAR,0.01,0,0.0174
20,within-2,likert_7_flex,2,RNK,0.01,0,0.0142
20,within-2,likert_7_flex,2,INT,0.01,0,0.0112
20,within-2,likert_7_flex,2,NON,0.01,0,0.009
20,within-2,likert_7_flex,2.5,PAR,0.05,0,0.0998
20,within-2,likert_7_flex,2.5,RNK,0.05,0,0.0798
20,within-2,likert_7_flex,2.5,INT,0.05,0,0.06
20,within-2,likert_7_flex,2.5,NON,0.05,0,0.0832
20,within-2,likert_7_flex,2.5,PAR,0.01,0,0.023
20,within-2,likert_7_flex,2.5,RNK,0.01,0,0.0188
20,within-2,likert_7_flex,2.5,INT,0.01,0,0.0136
20,within-2,likert_7_flex,2.5,NON,0.01,0,0.0136
20,within-2,likert_7_flex,3,PAR,0.05,0,0.1078
20,within-2,likert_7_flex,3,RNK,0.05,0,0.0784
20,within-2,likert_7_flex,3,INT,0.05,0,0.0578
20,within-2,likert_7_flex,3,NON,0.05,0,0.0904
20,within-2,likert_7_flex,3,PAR,0.01,0,0.0286
20,within-2,likert_7_flex,3,RNK,0.01,0,0.0216
20,within-2,likert_7_flex,3,INT,0.01,0,0.0158
20,within-2,likert_7_flex,3,NON,0.01,0,0.0174
20,within-3,norm,1,PAR,0.05,0,0.0496
20,within-3,norm,1,RNK,0.05,0,0.0502
20,within-3,norm,1,INT,0.05,0,0.0492
20,within-3,norm,1,NON,0.05,0,0.0522
20,within-3,norm,1,PAR,0.01,0,0.0114
20,within-3,norm,1,RNK,0.01,0,0.0134
20,within-3,norm,1,INT,0.01,0,0.0128
20,within-3,norm,1,NON,0.01,0,0.0074
20,within-3,norm,1.5,PAR,0.05,0,0.0516
20,within-3,norm,1.5,RNK,0.05,0,0.0532
20,within-3,norm,1.5,INT,0.05,0,0.0494
20,within-3,norm,1.5,NON,0.05,0,0.0534
20,within-3,norm,1.5,PAR,0.01,0,0.0116
20,within-3,norm,1.5,RNK,0.01,0,0.0106
20,within-3,norm,1.5,INT,0.01,0,0.0116
20,within-3,norm,1.5,NON,0.01,0,0.0078
20,within-3,norm,2,PAR,0.05,0,0.0568
20,within-3,norm,2,RNK,0.05,0,0.057
20,within-3,norm,2,INT,0.05,0,0.0516
20,within-3,norm,2,NON,0.05,0,0.0508
20,within-3,norm,2,PAR,0.01,0,0.0134
20,within-3,norm,2,RNK,0.01,0,0.0146
20,within-3,norm,2,INT,0.01,0,0.0124
20,within-3,norm,2,NON,0.01,0,0.0084
20,within-3,norm,2.5,PAR,0.05,0,0.0556
20,within-3,norm,2.5,RNK,0.05,0,0.0554
20,within-3,norm,2.5,INT,0.05,0,0.0486
20,within-3,norm,2.5,NON,0.05,0,0.0546
20,within-3,norm,2.5,PAR,0.01,0,0.016
20,within-3,norm,2.5,RNK,0.01,0,0.0158
20,within-3,norm,2.5,INT,0.01,0,0.0108
20,within-3,norm,2.5,NON,0.01,0,0.0086
20,within-3,norm,3,PAR,0.05,0,0.0656
20,within-3,norm,3,RNK,0.05,0,0.068
20,within-3,norm,3,INT,0.05,0,0.0548
20,within-3,norm,3,NON,0.05,0,0.052
20,within-3,norm,3,PAR,0.01,0,0.0186
20,within-3,norm,3,RNK,0.01,0,0.018
20,within-3,norm,3,INT,0.01,0,0.014
20,within-3,norm,3,NON,0.01,0,0.0088
20,within-3,likert_5,1,PAR,0.05,0,0.049
20,within-3,likert_5,1,RNK,0.05,0,0.0468
20,within-3,likert_5,1,INT,0.05,0,0.0466
20,within-3,likert_5,1,NON,0.05,0,0.0458
20,within-3,likert_5,1,PAR,0.01,0,0.0078
20,within-3,likert_5,1,RNK,0.01,0,0.009
20,within-3,likert_5,1,INT,0.01,0,0.0082
20,within-3,likert_5,1,NON,0.01,0,0.0072
20,within-3,likert_5,1.5,PAR,0.05,0,0.0556
20,within-3,likert_5,1.5,RNK,0.05,0,0.057
20,within-3,likert_5,1.5,INT,0.05,0,0.0548
20,within-3,likert_5,1.5,NON,0.05,0,0.0506
20,within-3,likert_5,1.5,PAR,0.01,0,0.0152
20,within-3,likert_5,1.5,RNK,0.01,0,0.0156
20,within-3,likert_5,1.5,INT,0.01,0,0.0146
20,within-3,likert_5,1.5,NON,0.01,0,0.011
20,within-3,likert_5,2,PAR,0.05,0,0.0494
20,within-3,likert_5,2,RNK,0.05,0,0.057
20,within-3,likert_5,2,INT,0.05,0,0.0472
20,within-3,likert_5,2,NON,0.05,0,0.0494
20,within-3,likert_5,2,PAR,0.01,0,0.0108
20,within-3,likert_5,2,RNK,0.01,0,0.0106
20,within-3,likert_5,2,INT,0.01,0,0.01
20,within-3,likert_5,2,NON,0.01,0,0.0088
20,within-3,likert_5,2.5,PAR,0.05,0,0.0544
20,within-3,likert_5,2.5,RNK,0.05,0,0.0576
20,within-3,likert_5,2.5,INT,0.05,0,0.0502
20,within-3,likert_5,2.5,NON,0.05,0,0.0496
20,within-3,likert_5,2.5,PAR,0.01,0,0.0132
20,within-3,likert_5,2.5,RNK,0.01,0,0.0142
20,within-3,likert_5,2.5,INT,0.01,0,0.0116
20,within-3,likert_5,2.5,NON,0.01,0,0.0092
20,within-3,likert_5,3,PAR,0.05,0,0.0584
20,within-3,likert_5,3,RNK,0.05,0,0.0632
20,within-3,likert_5,3,INT,0.05,0,0.0516
20,within-3,likert_5,3,NON,0.05,0,0.0514
20,within-3,likert_5,3,PAR,0.01,0,0.0156
20,within-3,likert_5,3,RNK,0.01,0,0.0162
20,within-3,likert_5,3,INT,0.01,0,0.0142
20,within-3,likert_5,3,NON,0.01,0,0.0122
20,within-3,likert_5_flex,1,PAR,0.05,0,0.0448
20,within-3,likert_5_flex,1,RNK,0.05,0,0.0486
20,within-3,likert_5_flex,1,INT,0.05,0,0.0468
20,within-3,likert_5_flex,1,NON,0.05,0,0.0462
20,within-3,likert_5_flex,1,PAR,0.01,0,0.0098
20,within-3,likert_5_flex,1,RNK,0.01,0,0.0108
20,within-3,likert_5_flex,1,INT,0.01,0,0.0106
20,within-3,likert_5_flex,1,NON,0.01,0,0.0074
20,within-3,likert_5_flex,1.5,PAR,0.05,0,0.0614
20,within-3,likert_5_flex,1.5,RNK,0.05,0,0.0568
20,within-3,likert_5_flex,1.5,INT,0.05,0,0.0578
20,within-3,likert_5_flex,1.5,NON,0.05,0,0.0532
20,within-3,likert_5_flex,1.5,PAR,0.01,0,0.012
20,within-3,likert_5_flex,1.5,RNK,0.01,0,0.0118
20,within-3,likert_5_flex,1.5,INT,0.01,0,0.0112
20,within-3,likert_5_flex,1.5,NON,0.01,0,0.0098
20,within-3,likert_5_flex,2,PAR,0.05,0,0.0856
20,within-3,likert_5_flex,2,RNK,0.05,0,0.0702
20,within-3,likert_5_flex,2,INT,0.05,0,0.0694
20,within-3,likert_5_flex,2,NON,0.05,0,0.064
20,within-3,likert_5_flex,2,PAR,0.01,0,0.0194
20,within-3,likert_5_flex,2,RNK,0.01,0,0.0158
20,within-3,likert_5_flex,2,INT,0.01,0,0.0154
20,within-3,likert_5_flex,2,NON,0.01,0,0.012
20,within-3,likert_5_flex,2.5,PAR,0.05,0,0.1066
20,within-3,likert_5_flex,2.5,RNK,0.05,0,0.082
20,within-3,likert_5_flex,2.5,INT,0.05,0,0.0806
20,within-3,likert_5_flex,2.5,NON,0.05,0,0.0744
20,within-3,likert_5_flex,2.5,PAR,0.01,0,0.0322
20,within-3,likert_5_flex,2.5,RNK,0.01,0,0.0244
20,within-3,likert_5_flex,2.5,INT,0.01,0,0.0246
20,within-3,likert_5_flex,2.5,NON,0.01,0,0.0174
20,within-3,likert_5_flex,3,PAR,0.05,0,0.1284
20,within-3,likert_5_flex,3,RNK,0.05,0,0.1
20,within-3,likert_5_flex,3,INT,0.05,0,0.0928
20,within-3,likert_5_flex,3,NON,0.05,0,0.089
20,within-3,likert_5_flex,3,PAR,0.01,0,0.0416
20,within-3,likert_5_flex,3,RNK,0.01,0,0.0318
20,within-3,likert_5_flex,3,INT,0.01,0,0.0284
20,within-3,likert_5_flex,3,NON,0.01,0,0.0252
20,within-3,likert_7,1,PAR,0.05,0,0.0496
20,within-3,likert_7,1,RNK,0.05,0,0.0524
20,within-3,likert_7,1,INT,0.05,0,0.0506
20,within-3,likert_7,1,NON,0.05,0,0.0512
20,within-3,likert_7,1,PAR,0.01,0,0.012
20,within-3,likert_7,1,RNK,0.01,0,0.011
20,within-3,likert_7,1,INT,0.01,0,0.0114
20,within-3,likert_7,1,NON,0.01,0,0.0096
20,within-3,likert_7,1.5,PAR,0.05,0,0.0522
20,within-3,likert_7,1.5,RNK,0.05,0,0.0534
20,within-3,likert_7,1.5,INT,0.05,0,0.0512
20,within-3,likert_7,1.5,NON,0.05,0,0.0476
20,within-3,likert_7,1.5,PAR,0.01,0,0.0122
20,within-3,likert_7,1.5,RNK,0.01,0,0.0128
20,within-3,likert_7,1.5,INT,0.01,0,0.0116
