n,design,family,missingratio,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,0.3,1,PAR,0.01,0.5,0,0,0.303,0.0098,0.01
20,4x3,norm,0.3,1,RNK,0.01,0.5,0,0,0.2812,0.0118,0.0096
20,4x3,norm,0.3,1,ART,0.01,0.5,0,0,0.2748,0.0096,0.0088
20,4x3,norm,0.3,1,INT,0.01,0.5,0,0,0.2964,0.01,0.0092
20,4x3,norm,0.1,2,PAR,0.05,0.5,0,0,0.6356,0.0516,0.0568
20,4x3,norm,0.1,2,RNK,0.05,0.5,0,0,0.6524,0.0534,0.0546
20,4x3,norm,0.1,2,ART,0.05,0.5,0,0,0.6484,0.0712,0.0596
20,4x3,norm,0.1,2,INT,0.05,0.5,0,0,0.6182,0.0526,0.057
20,4x3,norm,0.1,2,PAR,0.01,0.5,0,0,0.3908,0.0094,0.0168
20,4x3,norm,0.1,2,RNK,0.01,0.5,0,0,0.4142,0.008,0.0152
20,4x3,norm,0.1,2,ART,0.01,0.5,0,0,0.4148,0.0134,0.0172
20,4x3,norm,0.1,2,INT,0.01,0.5,0,0,0.377,0.0086,0.0156
20,4x3,norm,0.2,2,PAR,0.05,0.5,0,0,0.5602,0.0538,0.0656
20,4x3,norm,0.2,2,RNK,0.05,0.5,0,0,0.5802,0.052,0.0588
20,4x3,norm,0.2,2,ART,0.05,0.5,0,0,0.5824,0.071,0.066
20,4x3,norm,0.2,2,INT,0.05,0.5,0,0,0.5464,0.055,0.0596
20,4x3,norm,0.2,2,PAR,0.01,0.5,0,0,0.3222,0.0122,0.015
20,4x3,norm,0.2,2,RNK,0.01,0.5,0,0,0.3416,0.0104,0.0136
20,4x3,norm,0.2,2,ART,0.01,0.5,0,0,0.3394,0.0176,0.0174
20,4x3,norm,0.2,2,INT,0.01,0.5,0,0,0.3056,0.0134,0.0156
20,4x3,norm,0.3,2,PAR,0.05,0.5,0,0,0.501,0.0504,0.0614
20,4x3,norm,0.3,2,RNK,0.05,0.5,0,0,0.519,0.0514,0.0596
20,4x3,norm,0.3,2,ART,0.05,0.5,0,0,0.515,0.0666,0.0658
20,4x3,norm,0.3,2,INT,0.05,0.5,0,0,0.4866,0.0494,0.0606
20,4x3,norm,0.3,2,PAR,0.01,0.5,0,0,0.271,0.009,0.0194
20,4x3,norm,0.3,2,RNK,0.01,0.5,0,0,0.2884,0.0098,0.0146
20,4x3,norm,0.3,2,ART,0.01,0.5,0,0,0.2886,0.0126,0.0174
20,4x3,norm,0.3,2,INT,0.01,0.5,0,0,0.2604,0.0088,0.0186
20,4x3,norm,0.1,1,PAR,0.05,1,0,0,0.999,0.0476,0.0534
20,4x3,norm,0.1,1,RNK,0.05,1,0,0,0.9982,0.0484,0.0562
20,4x3,norm,0.1,1,ART,0.05,1,0,0,0.998,0.0506,0.0544
20,4x3,norm,0.1,1,INT,0.05,1,0,0,0.999,0.0472,0.0538
20,4x3,norm,0.1,1,PAR,0.01,1,0,0,0.993,0.0068,0.0086
20,4x3,norm,0.1,1,RNK,0.01,1,0,0,0.9896,0.0074,0.01
20,4x3,norm,0.1,1,ART,0.01,1,0,0,0.9896,0.0076,0.0102
20,4x3,norm,0.1,1,INT,0.01,1,0,0,0.992,0.0072,0.009
20,4x3,norm,0.2,1,PAR,0.05,1,0,0,0.9976,0.0514,0.0532
20,4x3,norm,0.2,1,RNK,0.05,1,0,0,0.9954,0.0504,0.0536
20,4x3,norm,0.2,1,ART,0.05,1,0,0,0.995,0.0526,0.0518
20,4x3,norm,0.2,1,INT,0.05,1,0,0,0.9972,0.0502,0.0534
20,4x3,norm,0.2,1,PAR,0.01,1,0,0,0.9808,0.0112,0.0102
20,4x3,norm,0.2,1,RNK,0.01,1,0,0,0.9746,0.0106,0.0126
20,4x3,norm,0.2,1,ART,0.01,1,0,0,0.9746,0.0108,0.0126
20,4x3,norm,0.2,1,INT,0.01,1,0,0,0.9802,0.0098,0.0116
20,4x3,norm,0.3,1,PAR,0.05,1,0,0,0.9918,0.0496,0.054
20,4x3,norm,0.3,1,RNK,0.05,1,0,0,0.9898,0.0516,0.052
20,4x3,norm,0.3,1,ART,0.05,1,0,0,0.988,0.0524,0.054
20,4x3,norm,0.3,1,INT,0.05,1,0,0,0.9904,0.0508,0.0528
20,4x3,norm,0.3,1,PAR,0.01,1,0,0,0.961,0.0106,0.0116
20,4x3,norm,0.3,1,RNK,0.01,1,0,0,0.9484,0.0102,0.011
20,4x3,norm,0.3,1,ART,0.01,1,0,0,0.9482,0.0112,0.0108
20,4x3,norm,0.3,1,INT,0.01,1,0,0,0.9578,0.0104,0.0114
20,4x3,norm,0.1,2,PAR,0.05,1,0,0,0.9976,0.0568,0.0586
20,4x3,norm,0.1,2,RNK,0.05,1,0,0,0.9968,0.0544,0.0512
20,4x3,norm,0.1,2,ART,0.05,1,0,0,0.997,0.0754,0.0592
20,4x3,norm,0.1,2,INT,0.05,1,0,0,0.997,0.0564,0.0562
20,4x3,norm,0.1,2,PAR,0.01,1,0,0,0.9866,0.0126,0.0128
20,4x3,norm,0.1,2,RNK,0.01,1,0,0,0.9814,0.0124,0.01
20,4x3,norm,0.1,2,ART,0.01,1,0,0,0.9818,0.019,0.0124
20,4x3,norm,0.1,2,INT,0.01,1,0,0,0.9824,0.011,0.0108
20,4x3,norm,0.2,2,PAR,0.05,1,0,0,0.9936,0.0502,0.0614
20,4x3,norm,0.2,2,RNK,0.05,1,0,0,0.9906,0.0484,0.0556
20,4x3,norm,0.2,2,ART,0.05,1,0,0,0.991,0.0716,0.0614
20,4x3,norm,0.2,2,INT,0.05,1,0,0,0.9916,0.0504,0.0568
20,4x3,norm,0.2,2,PAR,0.01,1,0,0,0.9736,0.0094,0.0156
20,4x3,norm,0.2,2,RNK,0.01,1,0,0,0.968,0.007,0.0132
20,4x3,norm,0.2,2,ART,0.01,1,0,0,0.9668,0.0144,0.0146
20,4x3,norm,0.2,2,INT,0.01,1,0,0,0.9682,0.0086,0.015
20,4x3,norm,0.3,2,PAR,0.05,1,0,0,0.9876,0.049,0.0632
20,4x3,norm,0.3,2,RNK,0.05,1,0,0,0.9852,0.049,0.0568
20,4x3,norm,0.3,2,ART,0.05,1,0,0,0.9848,0.0696,0.0628
20,4x3,norm,0.3,2,INT,0.05,1,0,0,0.9844,0.047,0.0604
20,4x3,norm,0.3,2,PAR,0.01,1,0,0,0.9468,0.008,0.0176
20,4x3,norm,0.3,2,RNK,0.01,1,0,0,0.9444,0.009,0.0126
20,4x3,norm,0.3,2,ART,0.01,1,0,0,0.9454,0.0166,0.0164
20,4x3,norm,0.3,2,INT,0.01,1,0,0,0.9414,0.009,0.0152
20,4x3,norm,0.1,1,PAR,0.05,2,0,0,1,0.0462,0.0518
20,4x3,norm,0.1,1,RNK,0.05,2,0,0,1,0.048,0.0574
20,4x3,norm,0.1,1,ART,0.05,2,0,0,1,0.0578,0.0526
20,4x3,norm,0.1,1,INT,0.05,2,0,0,1,0.0488,0.0502
20,4x3,norm,0.1,1,PAR,0.01,2,0,0,1,0.0094,0.0098
20,4x3,norm,0.1,1,RNK,0.01,2,0,0,1,0.0082,0.0106
20,4x3,norm,0.1,1,ART,0.01,2,0,0,1,0.0116,0.01
20,4x3,norm,0.1,1,INT,0.01,2,0,0,1,0.0102,0.0088
20,4x3,norm,0.2,1,PAR,0.05,2,0,0,1,0.0502,0.0526
20,4x3,norm,0.2,1,RNK,0.05,2,0,0,1,0.0494,0.0552
20,4x3,norm,0.2,1,ART,0.05,2,0,0,1,0.0672,0.052
20,4x3,norm,0.2,1,INT,0.05,2,0,0,1,0.052,0.0512
20,4x3,norm,0.2,1,PAR,0.01,2,0,0,1,0.0116,0.01
20,4x3,norm,0.2,1,RNK,0.01,2,0,0,1,0.0122,0.0094
20,4x3,norm,0.2,1,ART,0.01,2,0,0,1,0.0192,0.0098
