n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,3.0991,-0.2309,0,1.3372,0.1265,0.167,1.1966,0.1686,0.1903,1.196,0.156,0.1861,1.1826,0.1438,0.1574,1.3372,0.1265,0.167
20,4x3,norm,3.9636,-0.9414,0,1.8477,0.4441,0.1879,1.8424,0.4401,0.1756,1.7568,0.4389,0.1812,1.4954,0.4544,0.1466,1.8477,0.4441,0.1879
20,4x3,norm,1.8296,0.5282,0,0.7476,0.2002,0.1296,0.7652,0.1822,0.1545,0.754,0.1787,0.1378,0.7516,0.1976,0.1233,0.7476,0.2002,0.1296
20,4x3,norm,1.6452,1.8807,0,0.6401,0.7475,0.1365,0.6194,0.7307,0.1568,0.6126,0.7353,0.1225,0.6433,0.744,0.1245,0.6401,0.7475,0.1365
20,4x3,norm,-1.1515,-1.7965,0,0.6054,0.893,0.1222,0.5379,0.8916,0.0791,0.5966,0.9096,0.1197,0.6014,0.8956,0.1193,0.6054,0.893,0.1222
20,4x3,norm,3.7781,3.1285,0,1.5633,1.4812,0.1621,1.5698,1.496,0.2762,1.6872,1.4196,0.1844,1.5221,1.4262,0.148,1.5633,1.4812,0.1621
20,4x3,norm,-1.8048,2.845,0,0.7009,1.3918,0.1855,0.6556,1.306,0.1712,0.6737,1.3078,0.1941,0.6807,1.2075,0.1593,0.7009,1.3918,0.1855
20,4x3,norm,1.4987,-1.4674,0,0.7845,0.6976,0.2191,0.8024,0.7155,0.2414,0.7874,0.6761,0.2312,0.7822,0.6866,0.2165,0.7845,0.6976,0.2191
20,4x3,norm,2.6592,-1.6009,0,1.1456,0.8185,0.2125,1.0976,0.7811,0.1261,1.1705,0.8033,0.2038,1.1396,0.8104,0.1902,1.1456,0.8185,0.2125
20,4x3,norm,-0.5604,-3.815,0,0.2655,1.8779,0.2221,0.2465,1.5838,0.2277,0.2599,1.5436,0.2095,0.2332,1.3997,0.2084,0.2655,1.8779,0.2221
20,4x3,norm,2.7088,3.3064,0,1.2715,1.7727,0.2174,1.172,1.676,0.3114,1.2121,1.5386,0.2122,1.122,1.5366,0.1955,1.2715,1.7727,0.2174
20,4x3,norm,1.5284,1.6397,0,0.7185,0.8331,0.1084,0.7199,0.8244,0.1472,0.7175,0.8209,0.1154,0.7087,0.818,0.0998,0.7185,0.8331,0.1084
20,4x3,norm,-1.8368,0.2776,0,0.8485,0.1225,0.1245,0.8549,0.0941,0.0857,0.8496,0.1002,0.1087,0.8582,0.117,0.1085,0.8485,0.1225,0.1245
20,4x3,norm,-0.4325,2.3596,0,0.2878,0.966,0.2156,0.2645,1.0001,0.2346,0.2735,0.9943,0.1922,0.2897,0.9548,0.2068,0.2878,0.966,0.2156
