n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,1.1309,-0.3815,-3.8803,0.4971,0.1957,0.775,0.4632,0.2067,0.7359,0.4891,0.1848,0.7907,0.4868,0.2014,0.7776,0.4971,0.1957,0.775
20,4x3,norm,2.4638,2.6285,-0.4069,0.9886,1.1532,0.0905,0.927,1.1192,0.1548,0.9361,1.1288,0.106,0.9744,1.1321,0.1051,0.9886,1.1532,0.0905
20,4x3,norm,0.9918,2.6598,-2.3196,0.3867,1.4941,0.3958,0.3249,1.4326,0.2846,0.39,1.4751,0.3976,0.3322,1.3591,0.3445,0.3867,1.4941,0.3958
20,4x3,norm,1.9139,3.642,-0.6485,0.9216,1.7809,0.2559,0.8487,1.7196,0.2108,0.9459,1.7485,0.2409,0.8476,1.5584,0.1694,0.9216,1.7809,0.2559
20,4x3,norm,-0.367,3.1045,-0.9047,0.1562,1.4062,0.3134,0.1765,1.3925,0.2875,0.1548,1.3779,0.2904,0.1509,1.3288,0.3318,0.1562,1.4062,0.3134
20,4x3,norm,2.669,2.3552,1.4304,1.0325,1.1779,0.3581,0.8448,1.1251,0.2414,0.9631,1.1539,0.3518,0.9143,1.1364,0.2562,1.0325,1.1779,0.3581
20,4x3,norm,3.9424,-0.2767,-2.142,1.513,0.2092,0.4337,1.312,0.2817,0.3544,1.2595,0.2265,0.4097,1.2833,0.2516,0.4355,1.513,0.2092,0.4337
20,4x3,norm,0.8966,0.3609,2.4187,0.3027,0.1335,0.3968,0.2852,0.1312,0.4023,0.278,0.1397,0.3963,0.2859,0.1273,0.4008,0.3027,0.1335,0.3968
20,4x3,norm,0.1465,-0.6452,2.5963,0.1222,0.3576,0.5432,0.1522,0.3474,0.5316,0.1702,0.3871,0.5562,0.1351,0.3586,0.5372,0.1222,0.3576,0.5432
20,4x3,norm,-1.2944,-0.8489,-0.4689,0.6638,0.3788,0.1829,0.6571,0.354,0.1788,0.6529,0.3511,0.164,0.6567,0.3828,0.1735,0.6638,0.3788,0.1829
20,4x3,norm,3.9834,-1.0937,-2.4676,1.7547,0.6617,0.4694,1.7602,0.5642,0.3564,1.8632,0.6656,0.4719,1.5885,0.5515,0.372,1.7547,0.6617,0.4694
20,4x3,norm,0.4902,-0.3961,-2.7235,0.2458,0.2104,0.5053,0.21,0.1965,0.4702,0.219,0.1999,0.4916,0.2361,0.1985,0.4992,0.2458,0.2104,0.5053
20,4x3,norm,1.7834,3.1754,0.2608,0.8584,1.6764,0.1839,0.8228,1.6325,0.2726,0.8283,1.5115,0.1719,0.7872,1.4507,0.1798,0.8584,1.6764,0.1839
20,4x3,norm,0.654,-3.5397,2.6017,0.3113,1.5969,0.5622,0.1599,1.3975,0.4128,0.3156,1.4312,0.5724,0.1977,1.32,0.4837,0.3113,1.5969,0.5622
20,4x3,norm,0.8221,0.2033,3.6512,0.4108,0.1308,0.7793,0.3683,0.1275,0.8197,0.3969,0.117,0.7977,0.4084,0.1189,0.7764,0.4108,0.1308,0.7793
20,4x3,norm,3.5042,-0.5142,3.7658,1.6101,0.2766,0.9076,1.1761,0.0615,0.4078,1.3048,0.253,0.8611,1.213,0.0154,0.5586,1.6101,0.2766,0.9076
