n,design,family,method,alpha,effectX1,effectX2,effectX1X2,effectX3,rateX1,rateX2,rateX1X2,rateX3,rateX1X3,rateX2X3,rateX1X2X3
20,2x3,norm,INT,0.01,4,0,0,0,1,0.0132,0.011,0,0,0,0
20,2x3,norm,PAR,0.05,8,0,0,0,1,0.0452,0.0486,0,0,0,0
20,2x3,norm,RNK,0.05,8,0,0,0,1,0.047,0.0474,0,0,0,0
20,2x3,norm,ART,0.05,8,0,0,0,1,0.0472,0.0488,0,0,0,0
20,2x3,norm,INT,0.05,8,0,0,0,1,0.0446,0.048,0,0,0,0
20,2x3,norm,PAR,0.01,8,0,0,0,1,0.0092,0.0112,0,0,0,0
20,2x3,norm,RNK,0.01,8,0,0,0,1,0.01,0.01,0,0,0,0
20,2x3,norm,ART,0.01,8,0,0,0,1,0.0086,0.0108,0,0,0,0
20,2x3,norm,INT,0.01,8,0,0,0,1,0.011,0.01,0,0,0,0
20,2x3,lnorm,PAR,0.05,0,0,0,0,0.0394,0.0426,0.0372,0,0,0,0
20,2x3,lnorm,RNK,0.05,0,0,0,0,0.0482,0.0492,0.045,0,0,0,0
20,2x3,lnorm,ART,0.05,0,0,0,0,0.0576,0.0498,0.052,0,0,0,0
20,2x3,lnorm,INT,0.05,0,0,0,0,0.045,0.0484,0.045,0,0,0,0
20,2x3,lnorm,PAR,0.01,0,0,0,0,0.0048,0.0068,0.0034,0,0,0,0
20,2x3,lnorm,RNK,0.01,0,0,0,0,0.0086,0.0098,0.0094,0,0,0,0
20,2x3,lnorm,ART,0.01,0,0,0,0,0.0144,0.0094,0.0118,0,0,0,0
20,2x3,lnorm,INT,0.01,0,0,0,0,0.0098,0.0092,0.0106,0,0,0,0
20,2x3,lnorm,PAR,0.05,0.5,0.5,0,0,0.5178,0.2962,0.058,0,0,0,0
20,2x3,lnorm,RNK,0.05,0.5,0.5,0,0,0.7196,0.4842,0.0478,0,0,0,0
20,2x3,lnorm,ART,0.05,0.5,0.5,0,0,0.7004,0.4898,0.135,0,0,0,0
20,2x3,lnorm,INT,0.05,0.5,0.5,0,0,0.7362,0.5004,0.0486,0,0,0,0
20,2x3,lnorm,PAR,0.01,0.5,0.5,0,0,0.2524,0.1088,0.0084,0,0,0,0
20,2x3,lnorm,RNK,0.01,0.5,0.5,0,0,0.4856,0.2518,0.011,0,0,0,0
20,2x3,lnorm,ART,0.01,0.5,0.5,0,0,0.4774,0.2614,0.052,0,0,0,0
20,2x3,lnorm,INT,0.01,0.5,0.5,0,0,0.4994,0.265,0.0096,0,0,0,0
20,2x3,lnorm,PAR,0.05,1,1,0,0,0.951,0.7866,0.1736,0,0,0,0
20,2x3,lnorm,RNK,0.05,1,1,0,0,0.999,0.971,0.0446,0,0,0,0
20,2x3,lnorm,ART,0.05,1,1,0,0,0.994,0.9602,0.509,0,0,0,0
20,2x3,lnorm,INT,0.05,1,1,0,0,0.9996,0.9786,0.0426,0,0,0,0
20,2x3,lnorm,PAR,0.01,1,1,0,0,0.828,0.5438,0.053,0,0,0,0
