n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX2
30,4x3,norm,INT,0.01,8,0,0,0.0086
10,4x3,lnorm,PAR,0.05,0,0,0,0.0434
10,4x3,lnorm,RNK,0.05,0,0,0,0.0475
10,4x3,lnorm,ART,0.05,0,0,0,0.0784
10,4x3,lnorm,INT,0.05,0,0,0,0.0477
10,4x3,lnorm,PAR,0.01,0,0,0,0.0073
10,4x3,lnorm,RNK,0.01,0,0,0,0.0097
10,4x3,lnorm,ART,0.01,0,0,0,0.0239
10,4x3,lnorm,INT,0.01,0,0,0,0.0103
10,4x3,lnorm,PAR,0.05,0.5,0,0,0.0451
10,4x3,lnorm,RNK,0.05,0.5,0,0,0.0483
10,4x3,lnorm,ART,0.05,0.5,0,0,0.0995
10,4x3,lnorm,INT,0.05,0.5,0,0,0.0475
10,4x3,lnorm,PAR,0.01,0.5,0,0,0.0069
10,4x3,lnorm,RNK,0.01,0.5,0,0,0.0097
10,4x3,lnorm,ART,0.01,0.5,0,0,0.0354
10,4x3,lnorm,INT,0.01,0.5,0,0,0.0099
10,4x3,lnorm,PAR,0.05,1,0,0,0.0461
10,4x3,lnorm,RNK,0.05,1,0,0,0.0513
10,4x3,lnorm,ART,0.05,1,0,0,0.1537
10,4x3,lnorm,INT,0.05,1,0,0,0.0534
10,4x3,lnorm,PAR,0.01,1,0,0,0.0079
10,4x3,lnorm,RNK,0.01,1,0,0,0.0095
10,4x3,lnorm,ART,0.01,1,0,0,0.0638
10,4x3,lnorm,INT,0.01,1,0,0,0.0099
10,4x3,lnorm,PAR,0.05,2,0,0,0.0433
10,4x3,lnorm,RNK,0.05,2,0,0,0.0468
10,4x3,lnorm,ART,0.05,2,0,0,0.3082
10,4x3,lnorm,INT,0.05,2,0,0,0.0485
10,4x3,lnorm,PAR,0.01,2,0,0,0.0073
10,4x3,lnorm,RNK,0.01,2,0,0,0.0094
10,4x3,lnorm,ART,0.01,2,0,0,0.1817
10,4x3,lnorm,INT,0.01,2,0,0,0.0098
10,4x3,lnorm,PAR,0.05,4,0,0,0.0446
10,4x3,lnorm,RNK,0.05,4,0,0,0.0507
10,4x3,lnorm,ART,0.05,4,0,0,0.5896
10,4x3,lnorm,INT,0.05,4,0,0,0.0518
10,4x3,lnorm,PAR,0.01,4,0,0,0.0074
10,4x3,lnorm,RNK,0.01,4,0,0,0.0109
10,4x3,lnorm,ART,0.01,4,0,0,0.448
10,4x3,lnorm,INT,0.01,4,0,0,0.0101
10,4x3,lnorm,PAR,0.05,8,0,0,0.0442
10,4x3,lnorm,RNK,0.05,8,0,0,0.05
10,4x3,lnorm,ART,0.05,8,0,0,0.7845
10,4x3,lnorm,INT,0.05,8,0,0,0.0515
10,4x3,lnorm,PAR,0.01,8,0,0,0.0066
10,4x3,lnorm,RNK,0.01,8,0,0,0.0092
10,4x3,lnorm,ART,0.01,8,0,0,0.6739
10,4x3,lnorm,INT,0.01,8,0,0,0.011
20,4x3,lnorm,PAR,0.05,0,0,0,0.0486
20,4x3,lnorm,RNK,0.05,0,0,0,0.0503
20,4x3,lnorm,ART,0.05,0,0,0,0.0675
20,4x3,lnorm,INT,0.05,0,0,0,0.0511
20,4x3,lnorm,PAR,0.01,0,0,0,0.0082
20,4x3,lnorm,RNK,0.01,0,0,0,0.0101
20,4x3,lnorm,ART,0.01,0,0,0,0.018
20,4x3,lnorm,INT,0.01,0,0,0,0.0095
20,4x3,lnorm,PAR,0.05,0.5,0,0,0.0491
20,4x3,lnorm,RNK,0.05,0.5,0,0,0.0496
20,4x3,lnorm,ART,0.05,0.5,0,0,0.0894
20,4x3,lnorm,INT,0.05,0.5,0,0,0.0491
20,4x3,lnorm,PAR,0.01,0.5,0,0,0.0082
20,4x3,lnorm,RNK,0.01,0.5,0,0,0.0099
20,4x3,lnorm,ART,0.01,0.5,0,0,0.0299
20,4x3,lnorm,INT,0.01,0.5,0,0,0.0106
20,4x3,lnorm,PAR,0.05,1,0,0,0.0427
20,4x3,lnorm,RNK,0.05,1,0,0,0.0469
20,4x3,lnorm,ART,0.05,1,0,0,0.1457
20,4x3,lnorm,INT,0.05,1,0,0,0.0459
20,4x3,lnorm,PAR,0.01,1,0,0,0.0065
20,4x3,lnorm,RNK,0.01,1,0,0,0.0084
20,4x3,lnorm,ART,0.01,1,0,0,0.0589
20,4x3,lnorm,INT,0.01,1,0,0,0.0079
20,4x3,lnorm,PAR,0.05,2,0,0,0.0471
20,4x3,lnorm,RNK,0.05,2,0,0,0.0473
20,4x3,lnorm,ART,0.05,2,0,0,0.3367
20,4x3,lnorm,INT,0.05,2,0,0,0.0475
20,4x3,lnorm,PAR,0.01,2,0,0,0.0074
20,4x3,lnorm,RNK,0.01,2,0,0,0.0089
20,4x3,lnorm,ART,0.01,2,0,0,0.2129
20,4x3,lnorm,INT,0.01,2,0,0,0.0093
20,4x3,lnorm,PAR,0.05,4,0,0,0.0413
20,4x3,lnorm,RNK,0.05,4,0,0,0.0493
20,4x3,lnorm,ART,0.05,4,0,0,0.6496
20,4x3,lnorm,INT,0.05,4,0,0,0.0476
20,4x3,lnorm,PAR,0.01,4,0,0,0.0057
20,4x3,lnorm,RNK,0.01,4,0,0,0.0099
