n,design,family,method,alpha,effect,rate
20,within-2,exp,PAR,0.05,0.5,0.2648
20,within-2,exp,RNK,0.05,0.5,0.2536
20,within-2,exp,INT,0.05,0.5,0.2596
20,within-2,exp,NON,0.05,0.5,0.274
20,within-2,exp,PAR,0.01,0.5,0.0738
20,within-2,exp,RNK,0.01,0.5,0.1006
20,within-2,exp,INT,0.01,0.5,0.0976
20,within-2,exp,NON,0.01,0.5,0.0974
20,within-2,exp,PAR,0.05,1,0.7376
20,within-2,exp,RNK,0.05,1,0.7138
20,within-2,exp,INT,0.05,1,0.7176
20,within-2,exp,NON,0.05,1,0.7544
20,within-2,exp,PAR,0.01,1,0.3846
20,within-2,exp,RNK,0.01,1,0.4474
20,within-2,exp,INT,0.01,1,0.4366
20,within-2,exp,NON,0.01,1,0.4804
20,within-2,exp,PAR,0.05,1.5,0.9652
20,within-2,exp,RNK,0.05,1.5,0.9598
20,within-2,exp,INT,0.05,1.5,0.9566
20,within-2,exp,NON,0.05,1.5,0.9776
20,within-2,exp,PAR,0.01,1.5,0.753
20,within-2,exp,RNK,0.01,1.5,0.8454
20,within-2,exp,INT,0.01,1.5,0.8322
20,within-2,exp,NON,0.01,1.5,0.8778
20,within-2,binom,PAR,0.05,0,0.051
20,within-2,binom,RNK,0.05,0,0.0518
20,within-2,binom,INT,0.05,0,0.0492
20,within-2,binom,NON,0.05,0,0.0424
20,within-2,binom,PAR,0.01,0,0.0106
20,within-2,binom,RNK,0.01,0,0.0128
20,within-2,binom,INT,0.01,0,0.0126
20,within-2,binom,NON,0.01,0,0.007
20,within-2,binom,PAR,0.05,0.5,0.2886
20,within-2,binom,RNK,0.05,0.5,0.2738
20,within-2,binom,INT,0.05,0.5,0.2844
20,within-2,binom,NON,0.05,0.5,0.2612
20,within-2,binom,PAR,0.01,0.5,0.1016
20,within-2,binom,RNK,0.01,0.5,0.108
20,within-2,binom,INT,0.01,0.5,0.1068
20,within-2,binom,NON,0.01,0.5,0.076
20,within-2,binom,PAR,0.05,1,0.7878
20,within-2,binom,RNK,0.05,1,0.7622
20,within-2,binom,INT,0.05,1,0.7808
20,within-2,binom,NON,0.05,1,0.7582
20,within-2,binom,PAR,0.01,1,0.5078
20,within-2,binom,RNK,0.01,1,0.5074
20,within-2,binom,INT,0.01,1,0.5202
20,within-2,binom,NON,0.01,1,0.4368
20,within-2,binom,PAR,0.05,1.5,0.9702
20,within-2,binom,RNK,0.05,1.5,0.9624
20,within-2,binom,INT,0.05,1.5,0.968
20,within-2,binom,NON,0.05,1.5,0.964
20,within-2,binom,PAR,0.01,1.5,0.866
20,within-2,binom,RNK,0.01,1.5,0.8626
20,within-2,binom,INT,0.01,1.5,0.8706
20,within-2,binom,NON,0.01,1.5,0.823
20,within-2,poisson,PAR,0.05,0,0.0542
20,within-2,poisson,RNK,0.05,0,0.0526
20,within-2,poisson,INT,0.05,0,0.0536
20,within-2,poisson,NON,0.05,0,0.0486
20,within-2,poisson,PAR,0.01,0,0.0102
20,within-2,poisson,RNK,0.01,0,0.0114
20,within-2,poisson,INT,0.01,0,0.0104
20,within-2,poisson,NON,0.01,0,0.0062
20,within-2,poisson,PAR,0.05,0.5,0.714
20,within-2,poisson,RNK,0.05,0.5,0.675
20,within-2,poisson,INT,0.05,0.5,0.6918
20,within-2,poisson,NON,0.05,0.5,0.6872
20,within-2,poisson,PAR,0.01,0.5,0.4298
20,within-2,poisson,RNK,0.01,0.5,0.4162
20,within-2,poisson,INT,0.01,0.5,0.4264
20,within-2,poisson,NON,0.01,0.5,0.3754
20,within-2,poisson,PAR,0.05,1,0.9972
20,within-2,poisson,RNK,0.05,1,0.995
20,within-2,poisson,INT,0.05,1,0.9968
20,within-2,poisson,NON,0.05,1,0.997
20,within-2,poisson,PAR,0.01,1,0.9764
20,within-2,poisson,RNK,0.01,1,0.9722
20,within-2,poisson,INT,0.01,1,0.9744
20,within-2,poisson,NON,0.01,1,0.968
20,within-2,poisson,PAR,0.05,1.5,1
20,within-2,poisson,RNK,0.05,1.5,1
20,within-2,poisson,INT,0.05,1.5,1
20,within-2,poisson,NON,0.05,1.5,1
20,within-2,poisson,PAR,0.01,1.5,0.9998
20,within-2,poisson,RNK,0.01,1.5,1
20,within-2,poisson,INT,0.01,1.5,1
20,within-2,poisson,NON,0.01,1.5,1
20,within-2,likert,PAR,0.05,0,0.0524
20,within-2,likert,RNK,0.05,0,0.0532
20,within-2,likert,INT,0.05,0,0.0532
20,within-2,likert,NON,0.05,0,0.0434
20,within-2,likert,PAR,0.01,0,0.0118
20,within-2,likert,RNK,0.01,0,0.0118
20,within-2,likert,INT,0.01,0,0.0112
20,within-2,likert,NON,0.01,0,0.0066
20,within-2,likert,PAR,0.05,0.5,0.248
20,within-2,likert,RNK,0.05,0.5,0.2528
20,within-2,likert,INT,0.05,0.5,0.2512
20,within-2,likert,NON,0.05,0.5,0.2198
20,within-2,likert,PAR,0.01,0.5,0.0838
20,within-2,likert,RNK,0.01,0.5,0.0916
20,within-2,likert,INT,0.01,0.5,0.0882
20,within-2,likert,NON,0.01,0.5,0.057
20,within-2,likert,PAR,0.05,1,0.7154
20,within-2,likert,RNK,0.05,1,0.7254
20,within-2,likert,INT,0.05,1,0.7297
20,within-2,likert,NON,0.05,1,0.6763
20,within-2,likert,PAR,0.01,1,0.4446
20,within-2,likert,RNK,0.01,1,0.4654
