;UserID;TrialID;Type;isFoV;SecInFov;TimesInFov;Detected;TimeToDetect;TimeToDetectFromFirst;Manipulation;Size;Distance;Isolated;Complexity;Detection Ratio
203;5;28;RL;False;4.4297869980030296;2.0;True;5.8;0.009008209451970041;Manipulation_RL_005;0;1;1;1;26.0
205;5;30;RL;False;8.068760614809674;6.0;True;19.1;5.091278872282644;Manipulation_RL_000;0;0;1;0;26.0
206;5;31;FOV;True;5.024778440947761;1.0;True;10.0;4.975221559052239;Manipulation_FOV_AD_001;1;1;1;0;26.0
208;5;33;AD;False;4.086097197779926;4.0;True;11.2;5.140219304183041;Manipulation_AD_005;1;1;0;0;26.0
209;5;34;RL;False;12.704186017710304;10.0;False;45.1;3.361531157760055;Manipulation_RL_003;0;0;1;1;26.0
210;6;0;RL;False;21.40706509519996;7.0;False;45.1;0.011905868622283213;Manipulation_RL_001;0;1;0;0;19.0
211;6;1;RE;False;11.183610663996507;7.0;False;45.1;0.011208698726119787;Manipulation_RE_002;0;0;1;1;19.0
212;6;2;CH;False;9.518488293948696;6.0;False;45.1;0.011775046255861364;Manipulation_CH_003;0;1;1;1;19.0
213;6;3;AD;False;17.991099479906712;6.0;False;45.1;8.589247084999027;Manipulation_AD_000;0;0;0;0;19.0
214;6;4;CH;False;4.838024575368646;3.0;True;9.8;4.970772750234089;Manipulation_CH_006;1;1;0;0;19.0
216;6;6;FOV;True;25.954157676348494;1.0;True;41.8;1.6525241213817723;Manipulation_FOV_CH_000;0;0;1;1;19.0
217;6;7;RL;False;16.077302706150913;8.0;False;45.1;1.4899468751592764;Manipulation_RL_006;1;1;1;1;19.0
218;6;8;FOV;True;30.26346664723852;1.0;False;45.1;6.1330829292216755;Manipulation_FOV_AD_000;1;1;0;1;19.0
220;6;10;AD;False;10.950335476656258;7.0;False;45.1;0.011347497903193692;Manipulation_AD_005;1;1;0;0;19.0
221;6;11;RE;False;7.771540885047877;4.0;True;10.2;1.6477671474405131;Manipulation_RE_000;0;0;0;0;19.0
222;6;12;AD;False;10.198099084937212;10.0;True;40.4;0.011355521086017593;Manipulation_AD_003;0;1;1;0;19.0
223;6;13;RE;False;12.486978984418531;9.0;True;41.4;6.420097564991868;Manipulation_RE_001;0;1;0;0;19.0
224;6;14;FOV;True;10.589467333830148;1.0;True;10.6;0.010156499520936222;Manipulation_FOV_RE_001;0;0;0;0;19.0
225;6;15;AD;False;16.57344354457174;12.0;False;45.1;2.458067778056086;Manipulation_AD_006;1;1;0;1;19.0
226;6;16;RL;False;14.605093309428668;4.0;True;25.5;9.054983293945083;Manipulation_RL_000;0;0;1;0;19.0
227;6;17;FOV;True;4.409659893512954;1.0;True;5.3;0.8903401064869804;Manipulation_FOV_CH_001;1;0;1;0;19.0
228;6;18;RL;False;15.136775920594022;5.0;False;45.1;10.913746124904563;Manipulation_RL_003;0;0;1;1;19.0
229;6;19;RE;False;5.2651535646416265;9.0;False;45.1;10.263082246914946;Manipulation_RE_004;0;1;1;1;19.0
230;6;20;FOV;True;20.007439613526696;1.0;True;28.6;1.0961030595812955;Manipulation_FOV_AD_001;1;1;1;0;19.0
231;6;21;CH;False;9.721920287211232;6.0;True;28.7;0.8867048058259357;Manipulation_CH_001;0;1;1;0;19.0
232;6;22;FOV;True;34.4222517562181;1.0;False;45.1;1.3060053986676845;Manipulation_FOV_CH_002;1;1;0;1;19.0
233;6;23;CH;False;9.322091252234996;7.0;True;22.8;2.585967816700752;Manipulation_CH_000;0;0;1;0;19.0
234;6;24;AD;False;12.592184514185146;7.0;False;45.1;7.995919079817827;Manipulation_AD_001;0;1;0;0;19.0
235;6;25;AD;False;17.894696510641392;7.0;False;45.1;0.011772273443312095;Manipulation_AD_002;1;1;0;1;19.0
236;6;26;RE;False;5.155707562657434;5.0;True;8.9;1.4013498230638146;Manipulation_RE_003;0;1;1;0;19.0
237;6;27;RL;False;19.13030195712964;2.0;False;45.1;1.334085740913321;Manipulation_RL_004;0;0;1;1;19.0
238;6;28;FOV;True;39.71844586751509;1.0;False;45.1;1.687286919776216;Manipulation_FOV_RE_000;0;0;1;0;19.0
240;6;30;RL;False;11.927670358288147;6.0;True;30.0;14.222309340128437;Manipulation_RL_002;1;1;0;1;19.0
241;6;31;CH;False;12.73100917431223;6.0;True;39.2;10.601135456017328;Manipulation_CH_002;0;0;1;0;19.0
242;6;32;CH;False;10.788313627659726;9.0;False;45.1;10.190899667960911;Manipulation_CH_004;1;1;0;0;19.0
243;6;33;RE;False;13.224057899402682;7.0;True;28.1;0.011842927524014234;Manipulation_RE_005;1;0;1;1;19.0
280;8;0;RE;False;16.37859655384797;6.0;False;45.1;0.012663320527562692;Manipulation_RE_000;0;0;0;0;22.0
281;8;1;FOV;True;40.60946568847408;1.0;False;45.1;2.419843810889318;Manipulation_FOV_RE_001;0;0;0;0;22.0
282;8;2;RL;False;11.764418454922188;14.0;False;45.1;0.007073428387463015;Manipulation_RL_002;1;1;0;1;22.0
283;8;3;AD;False;10.600834743464127;5.0;True;23.4;2.101549659544483;Manipulation_AD_000;0;0;0;0;22.0
285;8;5;RL;False;18.380788843256504;7.0;False;45.1;3.6648451098268793;Manipulation_RL_006;1;1;1;1;22.0
286;8;6;RE;False;15.78350270568638;8.0;False;45.1;2.8019812129754693;Manipulation_RE_005;1;0;1;1;22.0
287;8;7;CH;False;11.675784727676687;6.0;False;45.1;0.010803192112585791;Manipulation_CH_000;0;0;1;0;22.0
289;8;9;FOV;True;25.734628725542752;1.0;True;28.1;0.005300767065202864;Manipulation_FOV_CH_002;1;1;0;1;22.0
291;8;11;FOV;True;8.649825610363711;1.0;True;14.3;5.650174389636213;Manipulation_FOV_AD_000;1;1;0;1;22.0
292;8;12;RL;False;12.034747880072649;2.0;False;45.1;6.084385410357309;Manipulation_RL_004;0;0;1;1;22.0
293;8;13;RL;False;7.622486576031076;2.0;True;29.4;1.6135067976693087;Manipulation_RL_005;0;1;1;1;22.0
294;8;14;CH;False;7.349316805183843;5.0;True;12.8;3.963870967741909;Manipulation_CH_002;0;0;1;0;22.0
295;8;15;FOV;True;19.42152187745617;1.0;True;33.6;2.5881947823484017;Manipulation_FOV_AD_001;1;1;1;0;22.0
298;8;18;CH;False;4.9373114378460405;4.0;True;7.9;0.008447584494945906;Manipulation_CH_003;0;1;1;1;22.0
301;8;21;AD;False;7.508657676984379;4.0;True;18.4;6.045341710082742;Manipulation_AD_001;0;1;0;0;22.0
303;8;23;CH;False;8.255311052125943;7.0;False;45.1;1.5292062676599345;Manipulation_CH_001;0;1;1;0;22.0
304;8;24;RL;False;20.735788167149448;6.0;False;45.1;0.9092263136119184;Manipulation_RL_003;0;0;1;1;22.0
305;8;25;AD;False;5.246672102548537;9.0;False;45.1;5.8076854520631525;Manipulation_AD_003;0;1;1;0;22.0
306;8;26;CH;False;6.866412415511724;7.0;False;45.1;6.7212334327681225;Manipulation_CH_004;1;1;0;0;22.0
309;8;29;FOV;True;15.993810397553501;1.0;True;20.3;2.9826544342508723;Manipulation_FOV_RE_000;0;0;1;0;22.0
310;8;30;FOV;True;4.400433473810977;1.0;True;7.8;3.399566526189024;Manipulation_FOV_CH_001;1;0;1;0;22.0
311;8;31;AD;False;8.008155806775713;8.0;False;45.1;5.917085155939318;Manipulation_AD_002;1;1;0;1;22.0
312;8;32;RE;False;8.038878097088725;10.0;False;45.1;4.135605324801508;Manipulation_RE_002;0;0;1;1;22.0
